"NIT;Razon_Social;Compras_total;Retenciones_sufridas"
"900888111;Alion Transportes S.A.S.;2150000;2150"
"900888222;Holcim Colombia S.A.;1800000;10800"
"900888333;Incauca S.A.;2500000;20000"
"900888444;Lactalis Chia Ltda;3200000;22400"
"900888555;Lactalis Medellin S.A.S.;1450000;8700"
"900888666;Acerías Paz del Rio S.A.;2750000;16500"
"900888777;Cemex Colombia S.A.;3500000;16695"
"900888778;Cemex Ibagué S.A.;2100000;10017"
"900888779;Cemex Maceo S.A.;1800000;14400"
"900888780;Duitama Transportes S.A.;4200000;256200"
"901345678;Inmobiliaria Boyaca S.A.S.;1500000;52500"
"800987654;Insumos Industriales Ltda;340000;13600"
